date;crypto investment;savings
14-09-2020;2176.02;1800
15-09-2020;2249.68;1850
16-09-2020;2286.76;1850
17-09-2020;2281.36;1850
18-09-2020;2280.44;1850
19-09-2020;2311.64;1850
20-09-2020;2279.12;1850
21-09-2020;2179.94;1850
22-09-2020;2245.82;1900
23-09-2020;2179.2;1900
24-09-2020;2289.95;1900
25-09-2020;2280.73;1900
26-09-2020;2291.84;1900
27-09-2020;2296.1;1900
28-09-2020;2284.79;1900
29-09-2020;2361.96;1950
30-09-2020;2348.63;1950
01-10-2020;2312.86;1950
02-10-2020;2304.56;1950
03-10-2020;2300.27;1950
04-10-2020;2326.17;1950
05-10-2020;2352.2;1950
06-10-2020;2362.5;2000
07-10-2020;2375.29;2000
08-10-2020;2429.67;2000
09-10-2020;2464.33;2000
10-10-2020;2512.57;2000
11-10-2020;2532.1;2000
12-10-2020;2570.18;2000
13-10-2020;2591.38;2050
14-10-2020;2592.2;2050
15-10-2020;2607.13;2050
16-10-2020;2567.85;2050
17-10-2020;2576.01;2050
18-10-2020;2604.41;2050
19-10-2020;2663.08;2050
20-10-2020;2752.61;2100
21-10-2020;2962.21;2100
22-10-2020;2995.05;2100
23-10-2020;2987.12;2100
24-10-2020;3027.9;2100
25-10-2020;3010.13;2100
26-10-2020;3020.32;2100
27-10-2020;3204.05;2150
28-10-2020;3114.2;2150
29-10-2020;3153.29;2150
30-10-2020;3178.78;2150
31-10-2020;3233.8;2150
01-11-2020;3223.51;2150
02-11-2020;3179.71;2150
03-11-2020;3323.53;2200
04-11-2020;3367.23;2200
05-11-2020;3711.76;2200
06-11-2020;3708.43;2200
07-11-2020;3534.01;2200
08-11-2020;3687.87;2200
09-11-2020;3652.78;2200
10-11-2020;3692.92;2250
11-11-2020;3792.04;2250
12-11-2020;3930.91;2250
13-11-2020;3940.93;2250
14-11-2020;3880.63;2250
15-11-2020;3853.45;2250
16-11-2020;4037.12;2250
17-11-2020;4311.56;2300
18-11-2020;4350.31;2300
19-11-2020;4353.51;2300
20-11-2020;4550.01;2300
21-11-2020;4555.13;2300
22-11-2020;4488.61;2300
23-11-2020;4487.17;2300
24-11-2020;4718.8;2350
25-11-2020;4626.11;2350
26-11-2020;4235.54;2350
27-11-2020;4225.11;2350
28-11-2020;4375.51;2350
29-11-2020;4489.13;2350
30-11-2020;4846.82;2350
01-12-2020;4693.61;2400
02-12-2020;4792.98;2400
03-12-2020;4853.97;2400
04-12-2020;4667.84;2400
05-12-2020;4781.29;2400
06-12-2020;4828.94;2400
07-12-2020;4790.62;2400
08-12-2020;4623.33;2450
09-12-2020;4682.07;2450
10-12-2020;4609.16;2450
11-12-2020;4557.15;2450
12-12-2020;4745.09;2450
13-12-2020;4830.57;2450
14-12-2020;4856.88;2450
15-12-2020;4949.89;2500
16-12-2020;5432.59;2500
17-12-2020;5813.59;2500
18-12-2020;5898.43;2500
19-12-2020;6085.01;2500
20-12-2020;5984.94;2500
21-12-2020;5813.06;2500
22-12-2020;6112.88;2550
23-12-2020;5973.65;2550
24-12-2020;6100.78;2550
25-12-2020;6339.51;2550
26-12-2020;6795.03;2550
27-12-2020;6752.68;2550
28-12-2020;6961.52;2550
29-12-2020;7082.88;2600
30-12-2020;7465.6;2600
31-12-2020;7507.22;2600
